Downloaded IndiaKanoon documents
================================
Robots status: all listed IndiaKanoon /doc/ URLs are disallowed by robots.txt
Total downloaded: 316

[property_rights]
- Article 31 in Constitution of India | https://indiankanoon.org/doc/354224/ | robots=disallowed
- Section 108 in The Transfer Of Property Act, 1882 | https://indiankanoon.org/doc/1879190/ | robots=disallowed
- Section 106 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/80042/ | robots=disallowed
- Section 53A in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/221518/ | robots=disallowed
- Section 54 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/613871/ | robots=disallowed
- Section 52 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/1634925/ | robots=disallowed
- Section 49 in The Registration Act , 1908 | https://indiankanoon.org/doc/1768154/ | robots=disallowed
- Section 18 in The Limitation Act, 1963 | https://indiankanoon.org/doc/85586/ | robots=disallowed
- Section 27 in The Limitation Act, 1963 | https://indiankanoon.org/doc/1223371/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/170521216/ | robots=disallowed
- Constitution | https://indiankanoon.org/doc/237570/ | robots=disallowed
- Section 9 in The Income Tax Act, 1961 | https://indiankanoon.org/doc/1369261/ | robots=disallowed
[cybercrime_laws]
- Entire Act | https://indiankanoon.org/doc/789969/ | robots=disallowed
[property_rights]
- Section 394 in The Companies Act, 1956 | https://indiankanoon.org/doc/301194/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1353758/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1317393/ | robots=disallowed
- Section 17 in The Income Tax Act, 1961 | https://indiankanoon.org/doc/938899/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/515323/ | robots=disallowed
- Section 3 in The Competition Act, 2002 | https://indiankanoon.org/doc/1153878/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1113485/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1172174/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/99622088/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1151186/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/29295224/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/109322779/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/547266/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1853142/ | robots=disallowed
- Section 2 in ﻿The Commercial Courts, Commercial Division And Commercial Appellate Division Of High Courts Act, 2015 | https://indiankanoon.org/doc/117655670/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/34300021/ | robots=disallowed
- Section 88 in Bihar Reorganisation Act, 2000 | https://indiankanoon.org/doc/569629/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1054471/ | robots=disallowed
- Section 5 in The Hindu Women's Rights To Property Act, 1937 | https://indiankanoon.org/doc/94477507/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/80896406/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/119689183/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/598874/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/199952089/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1026163/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1549108/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1832909/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/772855/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/392129/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1105235/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/105961750/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/167005194/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/52028/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/144094123/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/22584916/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/162636106/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/145802579/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/170891220/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/199960465/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/77046585/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/185464130/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1489134/ | robots=disallowed
- Transfer of Property Act , 1977 | https://indiankanoon.org/doc/3482533/ | robots=disallowed
- Section 3 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/1345438/ | robots=disallowed
- Section 53 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/1693670/ | robots=disallowed
- Section 41 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/584197/ | robots=disallowed
- Section 85 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/149328/ | robots=disallowed
- Section 32 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/324708/ | robots=disallowed
- Section 90 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/24975403/ | robots=disallowed
- Section 2 in The Government Grants Act , 1895 | https://indiankanoon.org/doc/907595/ | robots=disallowed
- Entire Act | https://indiankanoon.org/doc/1625086/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/72595235/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/870157/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1296130/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/187154176/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1064891/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1269771/ | robots=disallowed
- Section 124 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/1601260/ | robots=disallowed
- Section 133 in The Transfer Of Property Act , 1882 | https://indiankanoon.org/doc/1906948/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1243615/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/1577485/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/313181/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/838599/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/51153749/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/511962/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/198934/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/874420/ | robots=disallowed
- Full Document | https://indiankanoon.org/doc/759043/ | robots=disallowed
